result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_dif_predicted
win,3.6,0.17,0.94,0.86,1.15,1.56,5,-265,5,-94,-0.184184913
win,4.44,-8.48,16.94,16.33,17.44,15.44,-81,798,-72,371,2.805255855
draw,3.23,2.35,-2.67,-0.73,-3,-2.39,-3,127,4,-52,-0.145361007
draw,3.28,2.36,-2.67,-0.73,-3,-2.39,6,-464,9,-247,-0.339480538
win,3.41,-3.66,4.67,4.73,4.44,5.77,-8,317,2,-9,-0.067713195
win,3.12,-1.85,8.09,7.18,7.82,7.67,-10,245,-20,170,0.786412739
lose,3.15,2.04,-3.59,-5.32,-3.16,-0.8,14,-227,17,-151,-0.650071786
draw,3.04,1.45,-1.23,-4.29,-1.17,-0.36,-4,39,-5,33,0.204054147
lose,3.5,-1.8,6.88,3.24,7.41,4.71,-22,234,-21,101,0.825236645
draw,3.22,3,-10.4,-11.04,-11.15,-11.01,6,-155,5,-56,-0.184184913
draw,3.05,1.11,-4.06,-2.64,-4.4,-5.73,4,-70,28,-176,-1.077134753
lose,3.32,2.09,-2.58,-2.36,-2.91,-3.32,38,-319,28,-314,-1.077134753
draw,3.16,1.99,-0.59,-0.97,-0.55,0.78,47,-514,20,-172,-0.766543505
win,3.08,-0.7,1.4,2.73,1.73,1.13,-21,222,-11,112,0.436997584
win,3.54,-2.29,6.83,6.53,5.6,7,33,-280,-23,136,0.902884457
win,3.91,-5.07,6.88,8.06,6.67,7.11,-15,50,-9,39,0.359349772
win,4.3,-7.53,6.03,5.53,4.2,3.4,1,12,-32,173,1.252299612
lose,3.15,-0.93,4.53,9.53,1.2,-2.6,-2,35,9,-62,-0.339480538
